,CL0106,CL0107,CL0108,CL0109,CL0110,CL0111,CL0114,CL0116,CL0124,CL0125,CL0126,CL0146,CL0147,CL0191,CL0193,CL0196,NCI0422
F2RL1,2.204898134,1.186248041,0.164985793,3.226574273,1.774878094,2.479334989,0.662868673,0.894966509,0.274327301,0.894890292,0.217499746,0.620868021,0.117031228,0.316565282,0.559683063,0.50759924,1.599172236
F2RL2,1.64002098,0.018963521,0.010637857,0.271727226,0.185577641,0.103613678,0.452541773,0.115873743,0.198778466,0.711635921,0.218148322,0.073176706,0.022866275,0.214855895,0.044378731,0.069019676,0.336063808
F2RL3,0.133264598,1.621184692,0.029915348,0.095517532,0.095676881,0.106144905,0.197963044,0.054743712,0.085270686,0.58414386,0.019718609,0.039946414,0.06558968,0.099694487,0.003941055,0.052593301,0.141759746
F3,2.238581338,2.934602462,2.170000082,1.075135721,2.202810009,7.971549807,1.355814764,0.542018725,6.469751187,2.367564367,2.329112059,5.279779278,0.422213711,6.114527053,0.862557764,0.532473195,15.40565271
F5,90.77897589,2.189318824,95.2344478,174.5611511,192.9545435,4.134276126,3.086230698,0.70951567,2.301769708,31.26936696,2.550379421,2.396689899,16.41575688,1.423402943,0.230402921,8.54740394,11.747734
F7,0.147843106,0.292787747,0.214394119,9.253364752,7.884851796,0.003925222,0,0.002458217,0.293046339,1.519908818,0.123962472,0.027395568,0.014552975,0.064572867,0.007432718,0.035424816,0.105321623
F8,1.611336203,0.93036554,5.203515689,7.210043089,5.994604707,2.504835935,1.53875674,0.538654421,1.531815381,5.759734606,1.390799234,3.371606756,3.205568022,3.338418874,0.917306677,0.507761858,6.196747536
F8A1,4.375637645,6.576130311,9.138594087,5.465460417,4.083080646,2.843560151,0.066048607,0.146118015,2.177358402,5.002289514,4.973677369,2.764905501,2.49599629,40.1393848,48.67225562,57.39717453,0.090294038
F8A2,0,0,0,0,0,0,0,0,0,0,0,0,0,47.80864693,57.6795056,68.38820682,0
F8A3,0,0,0,0,0,0,0,0,0,0,0,0,0,47.80864693,57.6795056,68.38820682,0
F9,0.839337337,0.003660201,0.080076438,149.6307741,124.1481363,0.115707116,0,0,0.286775409,2.572618375,0.020300821,0,0,0.015551223,0,0.003867584,0.033169397
FA2H,1.602901164,3.43123547,5.35355474,1.999972024,2.233802821,2.328712838,0.416350846,4.592630533,0.762523457,3.848718759,1.548275973,2.16230702,5.736953527,1.240400069,2.965521934,0.362564491,1.243778692
FAAH,4.997562739,15.69701743,47.50864346,25.22757074,40.41626849,21.45466743,15.34635434,28.18568568,9.017120625,10.8678873,7.707199547,17.4049014,23.88673375,27.69155501,8.143168754,13.00110712,2.958684913
FAAH2,1.553797655,6.499205374,15.95181235,7.017432328,8.011082509,9.026377938,5.026674851,7.881171162,0.838957248,4.876770128,0.127449547,8.899739261,9.006504438,42.54122651,4.457717223,1.873674537,14.18802365
FABP1,5.576071333,0.049586097,0.876204812,1643.757435,1252.008664,0.130627244,0,0,0.356790501,15.6156001,0,0.101299519,0,0.126406885,0.05496734,0,0.179743219
FABP12,0.315016667,0.333358933,1.522734082,0,0.14563667,0.334546606,0,0.602352131,0.247478949,8.857095624,0.77038795,0.595892075,0.167964057,8.852209183,0.250756653,0.03774071,0.086313087
FABP2,0.249394031,0,0.084598318,0,0.046119358,0,0.299905901,0.013822413,0.060284744,1.261878873,0.069703398,0.051347911,0.095468984,0.106791054,0.027862502,0.013279449,0.022777598
FABP3,9.032822938,4.650561147,5.831856746,4.603257168,3.908107612,13.16751195,6.865803836,6.985276955,7.147735554,4.409700398,9.264780391,6.158308964,2.544418137,4.455352964,2.684731165,3.838680891,4.1560499
FABP4,0.185921233,0.691424275,1.163592821,4.032424203,4.992209563,0.207320088,13.01220604,3.375753352,1.375218756,4.002338099,35.57408852,20.73980728,0.420927732,0.745167078,0.785154012,0.374209498,5.71564131
FABP5,17.22134206,133.4907246,257.8357233,17.24411583,49.80379655,35.64997963,134.0980072,63.44899976,20.86565513,23.55853784,45.8208144,33.64917817,17.22461416,119.840125,107.5810857,34.33917575,47.12727036
FABP5P3,0.509632688,0.148584508,0.222268243,0.177421584,0.040390357,0.05798873,0,0.036316131,0.659951277,1.883738838,0.366268557,0.252952947,0.053749102,0.154316816,0.18301042,0.157003117,0.029922206
FABP6,0.03870857,3.221402363,0.531787126,0.448072149,3.929856297,0.709119323,0.279291251,3.63964321,2.245637934,4.206470728,0.162280479,1.838020002,20.88990562,0.096964287,1.6346809,0.435924735,0.063635798
FABP7,0.189637275,0.045265976,0.068559999,0.7175288,0,0,24.34092135,32.74449382,0.376370932,9.090216477,0,2.353461683,0.014737102,0.076929238,0.075267578,0.062179895,0.041020834
FABP9,0.468577423,0,5.245307719,0,0,0,0,0.038955649,1.868902623,11.15400007,0,0,0.807179496,0.300968773,0.039262386,0.299403327,0
FADD,0.369956163,14.05577189,1.29630486,2.110483835,1.809871624,3.268148417,0.545997062,1.535037568,1.731643768,1.113855893,1.311292825,1.550243451,1.117331574,2.365439142,1.251226341,0.862279157,2.377499346
FADS1,8.882828568,42.79257724,14.91530544,42.44365828,41.43421925,5.559046275,10.22414499,22.70307012,52.3354621,5.953773953,7.483479822,28.53724339,19.8124216,21.96605612,38.37385674,13.37865476,7.266790599
FADS2,33.33961618,52.24659893,9.942703822,148.2965143,136.0749146,40.33836705,26.71844256,70.34397946,79.23143064,9.470981921,40.12457072,86.81597534,50.73482456,59.33669658,116.3061398,52.88309769,9.643861477
FADS3,5.092022754,6.86503333,2.838537779,13.1713509,8.118078797,6.93497341,5.078412162,6.328283236,9.363843647,2.122394786,6.77586616,7.712718271,14.00206573,9.972607859,2.760936229,17.98924728,7.171183013
FADS6,0.24074645,0.330504951,0.049661103,0.364697864,0.418730516,0,0,0,0.047184656,0.255895832,0.00545566,0.045213557,0.147311522,0.005015099,0,0.180851738,0.016045151
FAF1,53.69529008,39.27754473,100.3145717,55.13696829,56.33859028,48.07214054,93.74422189,107.4551985,63.33733549,48.91752525,104.9840352,59.04844272,59.30909937,50.61952202,54.94818781,83.82106485,34.46852825
FAF2,6.78420196,14.26662845,11.50945824,13.46337064,10.45264866,18.27219092,6.846965744,9.525652686,9.80943392,5.428505598,7.285512894,8.686686177,11.37917495,9.99790268,20.91534687,12.68042717,9.065388045
FAH,6.346525263,2.327814765,3.388075528,279.1942374,207.9835913,11.94690456,5.755233734,1.09849727,1.747882976,7.178543998,4.725278819,4.337784085,5.231619136,2.445836052,0.584085343,4.196457519,17.617236
FAHD1,0.475635729,3.962306589,0.75947974,2.874878193,2.902589445,1.375796878,1.783644015,0.724251156,0.562762549,0.699529577,0.766130735,1.165483622,0.976429424,0.880329129,1.818592077,0.767781015,1.152320453
